Time (s),X (m),Y (m)
0.00,9.073,-0.000
0.01,9.073,-0.000
0.01,9.073,-0.000
0.02,9.073,-0.000
0.03,9.073,-0.000
0.06,9.073,-0.000
0.06,9.073,-0.000
0.07,9.073,-0.000
0.08,9.073,-0.000
0.09,9.073,-0.000
0.10,9.073,-0.000
0.12,9.073,-0.000
0.12,9.073,-0.000
0.13,9.073,-0.000
0.14,9.073,-0.000
0.15,9.073,-0.000
0.17,9.073,-0.000
0.18,9.073,-0.000
0.19,9.073,-0.000
0.20,9.073,-0.000
0.21,9.073,-0.000
0.21,9.073,-0.000
0.23,9.073,0.000
0.24,9.073,0.002
0.24,9.073,0.005
0.25,9.073,0.008
0.27,9.073,0.013
0.27,9.073,0.017
0.28,9.073,0.022
0.29,9.073,0.026
0.30,9.073,0.031
0.31,9.073,0.036
0.32,9.072,0.041
0.34,9.072,0.046
0.34,9.072,0.051
0.35,9.072,0.056
0.36,9.072,0.061
0.38,9.072,0.066
0.39,9.072,0.071
0.40,9.071,0.076
0.41,9.071,0.081
0.42,9.071,0.086
0.42,9.071,0.091
0.43,9.071,0.096
0.45,9.070,0.101
0.45,9.070,0.106
0.47,9.070,0.111
0.48,9.070,0.116
0.49,9.070,0.121
0.50,9.069,0.126
0.51,9.069,0.131
0.52,9.069,0.136
0.53,9.069,0.141
0.53,9.068,0.146
0.55,9.068,0.151
0.56,9.068,0.156
0.56,9.068,0.161
0.57,9.067,0.166
0.58,9.067,0.171
0.60,9.067,0.176
0.60,9.066,0.181
0.61,9.066,0.186
0.63,9.066,0.191
0.64,9.066,0.196
0.65,9.065,0.201
0.66,9.065,0.206
0.67,9.065,0.211
0.68,9.064,0.216
0.69,9.064,0.221
0.70,9.064,0.226
0.71,9.063,0.231
0.71,9.063,0.236
0.73,9.063,0.241
0.74,9.062,0.246
0.75,9.062,0.251
0.76,9.062,0.256
0.77,9.061,0.261
0.78,9.061,0.266
0.79,9.060,0.271
0.80,9.060,0.276
0.81,9.060,0.281
