front_left_steering,front_right_steering
-2.1333994126848665e-08,-5.4501177793042643e-08
-2.133401455495232e-08,-5.4501114732374845e-08
-2.133403587123439e-08,-5.4501053448063885e-08
-2.1334056299338044e-08,-5.4500991275574506e-08
-2.1334076727441698e-08,-5.450092910308513e-08
-2.133409893190219e-08,-5.450086781877417e-08
-2.1334119360005843e-08,-5.450080564628479e-08
-2.1334138899931077e-08,-5.450074436197383e-08
-2.133416110439157e-08,-5.450068307766287e-08
-2.1334182420673642e-08,-5.450062001699507e-08
-2.1334201960598875e-08,-5.450055784450569e-08
-2.133422238870253e-08,-5.4500496560194733e-08
-2.133424459316302e-08,-5.4500434387705354e-08
-2.1334265021266674e-08,-5.4500372215215975e-08
-2.1334284561191907e-08,-5.4500310930905016e-08
-2.13343067656524e-08,-5.450024875841564e-08
-2.1334328081934473e-08,-5.450018658592626e-08
-2.1334348510038126e-08,-5.45001253016153e-08
-2.133436804996336e-08,-5.450006401730434e-08
-2.1334390254423852e-08,-5.450000184481496e-08
-2.1334824573671085e-08,-5.4498712209749556e-08
-2.1335092803553835e-08,-5.449791995459918e-08
-2.133531840087244e-08,-5.449725293260599e-08
-2.1335623046070396e-08,-5.4496348766974734e-08
-2.1335887723239466e-08,-5.449556894632224e-08
-2.1336127531412785e-08,-5.449485573905122e-08
-2.1336327371557218e-08,-5.449426065951002e-08
-2.1336546751626884e-08,-5.449361228926364e-08
-2.133676435533971e-08,-5.4492967471730935e-08
-2.133700327533461e-08,-5.449226492260095e-08
-2.1337219990869016e-08,-5.449162365778193e-08
-2.1337435818225003e-08,-5.4490985057498165e-08
-2.133765075740257e-08,-5.449034912174966e-08
-2.1337728028925085e-08,-5.449011908353896e-08
-2.1337748457028738e-08,-5.4490061351941677e-08
-2.133776799695397e-08,-5.4490003620344396e-08
-2.1337788425057624e-08,-5.4489945888747116e-08
-2.1337807964982858e-08,-5.4489888157149835e-08
-2.133782661672967e-08,-5.4489831313730974e-08
-2.1337846156654905e-08,-5.4489772693955274e-08
-2.133786480840172e-08,-5.448971585053641e-08
-2.1337883460148532e-08,-5.448965900711755e-08
-2.1337903888252185e-08,-5.448960038734185e-08
-2.1337922539999e-08,-5.448954354392299e-08
-2.1337942079924233e-08,-5.448948670050413e-08
-2.1337962508027886e-08,-5.448942985708527e-08
-2.133798027159628e-08,-5.448937212548799e-08
-2.1337998923343093e-08,-5.448931617024755e-08
-2.1338018463268327e-08,-5.448925843865027e-08
-2.133803800319356e-08,-5.448920159523141e-08
-2.1338057543118794e-08,-5.4489144751812546e-08
-2.1338077971222447e-08,-5.4489086132036846e-08
-2.133809751114768e-08,-5.4489029288617985e-08
-2.1338116162894494e-08,-5.4488972445199124e-08
-2.1338134814641307e-08,-5.4488915601780263e-08
-2.133815346638812e-08,-5.448885787018298e-08
-2.1338173894491774e-08,-5.448880102676412e-08
-2.1338192546238588e-08,-5.448874418334526e-08
-2.133821208616382e-08,-5.44886873399264e-08
-2.1338231626089055e-08,-5.448863049650754e-08
-2.133824938965745e-08,-5.44885745412671e-08
-2.1338269817761102e-08,-5.448851769784824e-08
-2.1338290245864755e-08,-5.448845996625096e-08
-2.133830889761157e-08,-5.4488403122832096e-08
-2.1338326661179963e-08,-5.4488346279413236e-08
-2.1338346201105196e-08,-5.4488290324172794e-08
-2.133836485285201e-08,-5.4488233480753934e-08
-2.1338383504598823e-08,-5.448817663733507e-08
-2.1338402156345637e-08,-5.448811979391621e-08
-2.133842347262771e-08,-5.448806295049735e-08
-2.1338441236196104e-08,-5.448800699525691e-08
-2.1338459887942918e-08,-5.448795104001647e-08
-2.133847942786815e-08,-5.448789419659761e-08
-2.1338498079614965e-08,-5.448783735317875e-08
-2.1338518507718618e-08,-5.4487781397938306e-08
-2.1338536271287012e-08,-5.4487724554519446e-08
-2.1338554923033826e-08,-5.4487668599279004e-08
-2.133857535113748e-08,-5.448761264403856e-08
-2.1338594002884292e-08,-5.44875558006197e-08
-2.1338613542809526e-08,-5.448749984537926e-08
-2.133863130637792e-08,-5.44874430019604e-08
-2.1338651734481573e-08,-5.448738704671996e-08
-2.1338670386228387e-08,-5.44873302033011e-08
-2.133868992615362e-08,-5.448727424806066e-08
-2.1338710354257273e-08,-5.44872174046418e-08
-2.1338727229647247e-08,-5.4487162337579775e-08
-2.13387476577509e-08,-5.4487106382339334e-08
-2.1338766309497714e-08,-5.4487049538920473e-08
-2.1338784961244528e-08,-5.448699447185845e-08
-2.133880450116976e-08,-5.448693674026117e-08
-2.1338823152916575e-08,-5.448688078502073e-08
-2.133884180466339e-08,-5.448682482978029e-08
-2.1338861344588622e-08,-5.448676887453985e-08
-2.1338879996335436e-08,-5.448671203112099e-08
-2.133889864808225e-08,-5.4486656075880546e-08
-2.1338916411650644e-08,-5.4486601008818525e-08
-2.1338936839754297e-08,-5.4486545053578084e-08
-2.133895549150111e-08,-5.448648909833764e-08
-2.1338975031426344e-08,-5.44864331430972e-08
-2.1338993683173157e-08,-5.448637718785676e-08
-2.133901411127681e-08,-5.44863203444379e-08
-2.1339031874845205e-08,-5.448626527737588e-08
-2.13390496384136e-08,-5.448620932213544e-08
-2.1339069178338832e-08,-5.4486153366894996e-08
-2.1339087830085646e-08,-5.4486097411654555e-08
-2.133910737001088e-08,-5.4486041456414114e-08
-2.1339126909936112e-08,-5.448598638935209e-08
-2.1339144673504506e-08,-5.448592954593323e-08
-2.133916510160816e-08,-5.448587447887121e-08
-2.1339181976998134e-08,-5.448581941180919e-08
-2.1339202405101787e-08,-5.448576345656875e-08
-2.133922016867018e-08,-5.4485708389506726e-08
-2.1339239708595414e-08,-5.4485652434266285e-08
-2.1339258360342228e-08,-5.4485597367204264e-08
-2.133927790026746e-08,-5.448554141196382e-08
-2.1339295663835856e-08,-5.448548545672338e-08
-2.133931431558267e-08,-5.448543038966136e-08
-2.1339332967329483e-08,-5.448537532259934e-08
-2.1339352507254716e-08,-5.448531847918048e-08
-2.133937204717995e-08,-5.448526252394004e-08
-2.1339391587105183e-08,-5.4485206568699596e-08
-2.1339408462495157e-08,-5.4485151501637574e-08
-2.133942622606355e-08,-5.448509643457555e-08
-2.1339445765988785e-08,-5.448504047933511e-08
-2.1339466194092438e-08,-5.448498541227309e-08
-2.1339483957660832e-08,-5.448493034521107e-08
-2.1339501721229226e-08,-5.448487527814905e-08
-2.133952037297604e-08,-5.4484820211087026e-08
-2.1339539912901273e-08,-5.4484765144025005e-08
-2.1339557676469667e-08,-5.4484709188784564e-08
-2.13395772163949e-08,-5.448465323354412e-08
-2.1339594979963294e-08,-5.448459727830368e-08
-2.1339615408066948e-08,-5.448454309942008e-08
-2.1339632283456922e-08,-5.448448803235806e-08
-2.1339651823382155e-08,-5.448443296529604e-08
-2.133967047512897e-08,-5.4484377010055596e-08
-2.1339689126875783e-08,-5.4484322831171994e-08
-2.1339707778622596e-08,-5.448426687593155e-08
-2.133972643036941e-08,-5.448421180886953e-08
-2.1339745082116224e-08,-5.448415585362909e-08
-2.1339764622041457e-08,-5.448410078656707e-08
-2.133978238560985e-08,-5.448404571950505e-08
-2.1339802813713504e-08,-5.4483990652443026e-08
-2.133981968910348e-08,-5.4483934697202585e-08
-2.1339837452671873e-08,-5.4483880518318983e-08
-2.1339856992597106e-08,-5.448382545125696e-08
-2.13398747561655e-08,-5.448377038419494e-08
-2.1339894296090733e-08,-5.448371531713292e-08
-2.1339912059659127e-08,-5.448365936189248e-08
-2.133993248776278e-08,-5.4483604294830457e-08
-2.1339949363152755e-08,-5.4483549227768435e-08
-2.1339969791256408e-08,-5.4483495048884834e-08
-2.1339987554824802e-08,-5.448343909364439e-08
-2.1340007094750035e-08,-5.448338402658237e-08
-2.134002485831843e-08,-5.448332895952035e-08
-2.1340043510065243e-08,-5.448327300427991e-08
-2.1340062161812057e-08,-5.448321882539631e-08
-2.134007992538045e-08,-5.4483163758334285e-08
-2.1340100353484104e-08,-5.4483108691272264e-08
-2.1340117228874078e-08,-5.448305451238866e-08
-2.1340134992442472e-08,-5.448300033350506e-08
-2.1340153644189286e-08,-5.448294615462146e-08
-2.13401722959361e-08,-5.448289197573786e-08
-2.1340191835861333e-08,-5.4482836908675836e-08
-2.1340209599429727e-08,-5.4482781841613814e-08
-2.134022736299812e-08,-5.448272677455179e-08
-2.1340246014744935e-08,-5.448267170748977e-08
-2.134026466649175e-08,-5.448261752860617e-08
-2.1340282430060142e-08,-5.448256246154415e-08
-2.1340301969985376e-08,-5.4482508282660547e-08
-2.134032062173219e-08,-5.4482454103776945e-08
-2.1340339273479003e-08,-5.448239992489334e-08
-2.1340357037047397e-08,-5.448234485783132e-08
-2.134037568879421e-08,-5.44822897907693e-08
-2.1340396116897864e-08,-5.448223472370728e-08
-2.1340412992287838e-08,-5.448218054482368e-08
-2.1340431644034652e-08,-5.4482125477761656e-08
-2.1340449407603046e-08,-5.4482071298878054e-08
-2.134046805934986e-08,-5.448201711999445e-08
-2.1340486711096673e-08,-5.448196116475401e-08
-2.1340506251021907e-08,-5.448190698587041e-08
-2.134052490276872e-08,-5.448185191880839e-08
-2.1340543554515534e-08,-5.448179685174637e-08
-2.1340561318083928e-08,-5.4481742672862765e-08
-2.134058085800916e-08,-5.4481688493979163e-08
-2.1340598621577556e-08,-5.448163342691714e-08
-2.134061727332437e-08,-5.448157835985512e-08
-2.1340635925071183e-08,-5.44815232927931e-08
-2.1340653688639577e-08,-5.44814691139095e-08
-2.134067411674323e-08,-5.4481414046847476e-08
-2.1340692768490044e-08,-5.4481358979785455e-08
-2.1340710532058438e-08,-5.448130480090185e-08
-2.134072918380525e-08,-5.448125062201825e-08
-2.1340746947373646e-08,-5.448119644313465e-08
-2.134076559912046e-08,-5.448114137607263e-08
-2.1340785139045693e-08,-5.4481087197189026e-08
-2.1340802014435667e-08,-5.4481033018305425e-08
-2.134082066618248e-08,-5.448097883942182e-08
-2.1340839317929294e-08,-5.448092466053822e-08
-2.1340857969676108e-08,-5.448087048165462e-08
-2.1340876621422922e-08,-5.44808154145926e-08
-2.1340894384991316e-08,-5.4480761235708997e-08
-2.134091303673813e-08,-5.4480707056825395e-08
-2.1340931688484943e-08,-5.448065287794179e-08
-2.1340949452053337e-08,-5.448059781087977e-08
-2.134096899197857e-08,-5.448054363199617e-08
-2.1340986755546965e-08,-5.448048945311257e-08
-2.1341005407293778e-08,-5.448043438605055e-08
-2.1341022282683753e-08,-5.4480380207166945e-08
-2.1341042710787406e-08,-5.4480326028283343e-08
-2.13410604743558e-08,-5.448027184939974e-08
-2.1341080014281033e-08,-5.448021767051614e-08
-2.1341098666027847e-08,-5.448016260345412e-08
-2.134111554141782e-08,-5.448010842457052e-08
